scenario1,scenario2,kappa_value,kappa_pvalue
No-regret,No-regret,1,0
No-regret,SSP1-2.6,0.148891228815305,0
No-regret,SSP2-4.5,0.144806878523842,0
No-regret,SSP5-8.5,0.134485319451752,0
No-regret,Uninformed,0.0441539987824866,0
SSP1-2.6,No-regret,0.148891228815305,0
SSP1-2.6,SSP1-2.6,1,0
SSP1-2.6,SSP2-4.5,0.921280470977744,0
SSP1-2.6,SSP5-8.5,0.841703684595381,0
SSP1-2.6,Uninformed,0.165791942074074,0
SSP2-4.5,No-regret,0.144806878523842,0
SSP2-4.5,SSP1-2.6,0.921280470977744,0
SSP2-4.5,SSP2-4.5,1,0
SSP2-4.5,SSP5-8.5,0.85897409701887,0
SSP2-4.5,Uninformed,0.173681030259218,0
SSP5-8.5,No-regret,0.134485319451752,0
SSP5-8.5,SSP1-2.6,0.841703684595381,0
SSP5-8.5,SSP2-4.5,0.85897409701887,0
SSP5-8.5,SSP5-8.5,1,0
SSP5-8.5,Uninformed,0.19855721800773,0
Uninformed,No-regret,0.0441539987824866,0
Uninformed,SSP1-2.6,0.165791942074074,0
Uninformed,SSP2-4.5,0.173681030259218,0
Uninformed,SSP5-8.5,0.19855721800773,0
Uninformed,Uninformed,1,0
